city,country_iso3,income_group,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Houston,USA,High income,school,5477,0.5705678291035238,0.1163045462844623,0.0,0.07358042724119043,130001.28218865395,0.08678079710486276,21.014888763427734
Istanbul,TUR,Upper-middle income,health,17477,0.0,0.004234136293414201,0.9656691651885335,0.0032614293070893172,1138381.0086669922,0.10627418231122346,7.749722957611084
Istanbul,TUR,Upper-middle income,school,12292,0.0,0.005369345916042954,0.929873088187439,0.004311747478034494,992272.1119823093,0.110238266124852,8.923453330993652
Jakarta,IDN,Upper-middle income,health,11275,0.0,0.03121951219512195,1.0,0.03121951219512195,1223173.6655273438,0.08214836320837256,11.140101432800293
Jakarta,IDN,Upper-middle income,school,17134,0.0,0.04202171121746236,0.9999416365121979,0.04202171121746236,1165085.9633789062,0.08562213729464241,11.140101432800293
Johannesburg,ZAF,,health,4529,0.0,0.0,1.0,0.0,226803.15099334717,0.1421516580161126,50.08112335205078
Johannesburg,ZAF,,school,9580,0.0,0.0,1.0,0.0,302792.1460197754,0.1143797176293439,48.777042388916016
Karachi,PAK,Lower-middle income,health,1769,0.8654607122668174,0.055398530243075186,0.9773883550028265,0.8908988128886377,2674460.079498291,0.3130073925935246,25.90498924255371
Karachi,PAK,Lower-middle income,school,2572,0.9183514774494557,0.04121306376360809,0.9626749611197511,0.9210730948678072,2572219.4436216247,0.3205439126108314,25.90498924255371
Kolkata,IND,Lower-middle income,health,8410,0.9330558858501784,0.2923900118906064,0.0,0.2914387633769322,1815252.1700439453,0.1091024007382977,15.391413688659668
Kolkata,IND,Lower-middle income,school,7065,0.9082802547770701,0.2655343241330502,0.0,0.2625619249823071,1623992.035949707,0.10466356372212579,15.391477584838867
Lagos,NGA,Lower-middle income,health,1303,0.0030698388334612432,0.07828089025326171,0.7313891020721413,0.06753645433614736,1446503.6458587646,0.11850370742680223,38.448123931884766
Lagos,NGA,Lower-middle income,school,3101,0.0064495324089003546,0.0780393421476943,0.6027088036117382,0.05707836181876814,1406671.9764785767,0.10710647642944474,40.22747039794922
Lima,PER,Upper-middle income,health,11872,0.0,0.006485849056603774,0.9999157681940701,0.006485849056603774,994261.392578125,0.1256854700927111,11.895645141601562
Lima,PER,Upper-middle income,school,9155,0.0,0.013107591480065538,1.0,0.013107591480065538,975720.4306640625,0.1315463422028462,11.862144470214844
London,GBR,High income,health,16129,0.0,0.05015810031620063,0.991009982019964,0.05003410006820014,583355.6869907379,0.08227039896558674,4.095911026000977
London,GBR,High income,school,12093,0.0,0.06755974530720252,0.987678822459274,0.06731166790705367,488271.522687912,0.0861930113854799,4.941072463989258
Los Angeles,USA,High income,health,24749,0.22154430482039678,0.06416420865489515,1.0,0.28526405107277064,272779.2187356595,0.13170999065537672,7.867554664611816
Los Angeles,USA,High income,school,7249,0.21520209684094357,0.11187750034487516,0.9998620499379225,0.32611394675127603,286303.784406662,0.1428188965452525,7.532552719116211
Madrid,ESP,High income,health,8573,1.0,0.0009331622535868425,1.0,1.0,894788.847782135,0.19064324898659188,23.40478515625
Madrid,ESP,High income,school,4763,1.0,0.0018895653999580096,1.0,1.0,727438.9219462276,0.18881616895168254,23.40478515625
Manila,PHL,Lower-middle income,health,18365,0.8476994282602777,0.211707051456575,0.0,0.17821943915055813,1945325.217514515,0.151273593029373,12.893756866455078
Manila,PHL,Lower-middle income,school,10302,0.8381867598524558,0.2145214521452145,0.0,0.16967579110852263,1774363.2075805664,0.15605285889103251,13.295430183410645
Mexico City,MEX,Upper-middle income,health,25048,0.0,0.08771159374001916,1.0,0.08771159374001916,933714.4672851562,0.12808302511656497,8.788812637329102
Mexico City,MEX,Upper-middle income,school,14632,0.0,0.12158283214871514,1.0,0.12158283214871514,890956.6145019531,0.13637438325067427,9.684009552001953
Miami,USA,High income,health,9433,0.0,0.054595568748012295,0.22378882646029896,0.03561963320258666,214689.50337316096,0.05197703732385442,5.1929612159729
Miami,USA,High income,school,2377,0.0,0.013462347496844763,0.3230963399242743,0.006310475389145982,215569.0180388894,0.05512329295971963,6.185729503631592
Nairobi,KEN,Lower-middle income,health,1716,0.0,0.0005827505827505828,0.0,0.0,970385.2364068031,0.026536322463865083,21.247148513793945
Nairobi,KEN,Lower-middle income,school,1757,0.0,0.0011383039271485487,0.0,0.0,786435.3405514024,0.02701814582425962,21.247148513793945
New York City,USA,High income,health,36487,0.0,0.06007619152026749,0.42631622221613175,0.023734480773974293,859378.1511987615,0.06546642433035249,4.5445332527160645
New York City,USA,High income,school,11968,0.0,0.07469919786096256,0.4666610962566845,0.029495320855614973,834284.4910474606,0.07465841569397817,5.117814540863037
Paris,FRA,High income,health,8426,0.0,0.08711132209826727,0.0,0.0,1062523.542602539,0.05014863088821665,4.692917823791504
Paris,FRA,High income,school,7355,0.0,0.10237933378653977,0.0,0.0,899730.6577148438,0.05421842032983784,5.029542446136475
Rome,ITA,High income,health,6181,0.8333602976864585,0.08590842905678693,1.0,0.840478886911503,513819.7078335285,0.15676233997350214,22.16680145263672
Rome,ITA,High income,school,2986,0.7957133288680509,0.12424648359008707,1.0,0.8154722036168788,455750.3472004831,0.1636938290917558,21.037521362304688
Rotterdam,NLD,High income,health,2882,0.0,0.48056904927133937,0.0024288688410825814,0.0024288688410825814,199539.85789704323,0.057152855919063994,4.361252307891846
Rotterdam,NLD,High income,school,2339,0.0,0.5352714835399743,0.002992731936725096,0.002992731936725096,197092.1440730095,0.0629752588698078,4.460842132568359
Sao Paulo,BRA,Upper-middle income,health,36921,0.0,0.016061320115923188,0.0,0.0,934979.125,0.08289141578231563,27.28835105895996
Sao Paulo,BRA,Upper-middle income,school,17716,0.0,0.021223752540076767,0.0,0.0,918242.5612752698,0.08510878416181372,27.58666229248047
Shanghai,CHN,Upper-middle income,health,341,0.9501466275659824,0.5806451612903226,0.9530791788856305,0.9941348973607038,2269692.6665039062,0.24191555416121088,12.410492897033691
Shanghai,CHN,Upper-middle income,school,305,0.9442622950819672,0.6622950819672131,0.9442622950819672,0.9901639344262295,1897454.412109375,0.26476284387044086,20.065176010131836
Tokyo,JPN,High income,health,38519,0.5788312261481346,0.14231937485396817,0.0,0.032451517432955164,904022.6329803467,0.10658224624784904,2.809330940246582
Tokyo,JPN,High income,school,15256,0.6015338227582591,0.1662952281069743,0.0,0.04195070791819612,905435.2280197144,0.11402374313121275,2.809330940246582
