city,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi,priority_quadrant,compound_median_cut,service_pop_5km_median_cut
Johannesburg,14109,0.0,0.0,1.0,0.0,264797.6485065613,0.12826568782272824,49.4290828704834,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Lagos,4404,0.00475968562118075,0.078160116200478,0.6670489528419397,0.0623074080774577,1426587.8111686707,0.11280509192812345,39.33779716491699,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Tokyo,53775,0.5901825244531969,0.1543073014804712,0.0,0.037201112675575604,904728.9305000305,0.11030299468953085,2.809330940246582,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Istanbul,29769,0.0,0.0048017411047285505,0.9477711266879862,0.00378658839256185,1065326.5603246507,0.10825622421803771,8.336588144302368,lower_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Kolkata,15475,0.9206680703136242,0.2789621680118283,0.0,0.27700034417961966,1719622.1029968262,0.1068829822302117,15.391445636749268,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Ho Chi Minh City,20411,0.8384509813981794,0.1965174310759532,0.01147861058699025,0.17392809370107684,1838082.4363951096,0.09877990308285556,9.443771362304688,high_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Houston,23687,0.5447841891261715,0.15760312432290108,0.0,0.08939867051241285,137549.47807408136,0.09057572904027025,21.01488876342773,high_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
London,28222,0.0,0.05885892281170155,0.989344402239619,0.05867288398762685,535813.604839325,0.0842317051755333,4.518491744995117,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Sao Paulo,54637,0.0,0.0186425363279999,0.0,0.0,926610.8431376349,0.08400009997206465,27.437506675720215,lower_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Jakarta,28409,0.0,0.0366206117062921,0.999970818256099,0.0366206117062921,1194129.814453125,0.08388525025150745,11.140101432800291,lower_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
New York City,48455,0.0,0.06738769469061495,0.4464886592364081,0.026614900814794548,846831.3211231111,0.07006242001216526,4.831173896789551,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Rotterdam,5221,0.0,0.5079202664056568,0.0027108003889037497,0.0027108003889037497,198316.00098502636,0.06006405739443585,4.4110472202301025,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Miami,11810,0.0,0.03402895812242845,0.2734425831922866,0.02096505429586625,215129.26070602518,0.053550165141786996,5.689345359802246,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Paris,15781,0.0,0.09474532794240345,0.0,0.0,981127.1001586914,0.0521835256090272,4.861230134963989,lower_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
Buenos Aires,15916,0.0,0.1479236044779591,0.0,0.0,894591.6748046875,0.0278572560990786,25.660512924194336,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Nairobi,3473,0.0,0.0008605272549494999,0.0,0.0,878410.2884791028,0.0267772341440623,21.247148513793945,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Accra,1743,0.0,0.00365965233302835,0.0,0.0,690756.8524785042,0.00928858280338955,19.638014793395996,lower_exposure_lower_service_pressure,0.060490146032542276,920643.5586385196
Bogota,10172,0.0,0.01562843965658465,0.0,0.0,1374238.0583547235,0.0019705132744066997,11.956443786621094,lower_exposure_high_service_pressure,0.060490146032542276,920643.5586385196
