city,facility_type,n_observed,n_simulated_per_rep,observed_heat_share,observed_flood_share,observed_water_share,observed_compound_share,counterfactual_compound_mean,counterfactual_compound_p05,counterfactual_compound_p95,observed_minus_counterfactual
London,school,12093,5000,0.0,0.06755974530720252,0.987678822459274,0.06731166790705367,0.07768599999999999,0.07159,0.08281999999999999,-0.010374332092946317
Paris,health,8426,5000,0.0,0.08711132209826727,0.0,0.0,0.0,0.0,0.0,0.0
Paris,school,7355,5000,0.0,0.10237933378653977,0.0,0.0,0.0,0.0,0.0,0.0
Madrid,health,8573,5000,1.0,0.0009331622535868425,1.0,1.0,1.0,1.0,1.0,0.0
Madrid,school,4763,4763,1.0,0.0018895653999580096,1.0,1.0,1.0,1.0,1.0,0.0
Rome,health,6181,5000,0.8333602976864585,0.08590842905678693,1.0,0.840478886911503,0.78864,0.7803599999999999,0.7960200000000001,0.05183888691150296
Rome,school,2986,2986,0.7957133288680509,0.12424648359008707,1.0,0.8154722036168788,0.7887106496985935,0.774614869390489,0.7994139316811788,0.026761553918285275
New York City,health,36487,5000,0.0,0.06007619152026749,0.42631622221613175,0.023734480773974293,0.03982399999999999,0.036,0.043609999999999996,-0.016089519226025698
New York City,school,11968,5000,0.0,0.07469919786096256,0.4666610962566845,0.029495320855614973,0.03927800000000001,0.034789999999999995,0.0448,-0.009782679144385034
Los Angeles,health,24749,5000,0.22154430482039678,0.06416420865489515,1.0,0.28526405107277064,0.360872,0.34817000000000004,0.37153,-0.07560794892722938
Los Angeles,school,7249,5000,0.21520209684094357,0.11187750034487516,0.9998620499379225,0.32611394675127603,0.36135199999999995,0.35156000000000004,0.37122999999999995,-0.03523805324872392
Miami,health,9433,5000,0.0,0.054595568748012295,0.22378882646029896,0.03561963320258666,0.031318,0.02679,0.03501,0.004301633202586662
Miami,school,2377,2377,0.0,0.013462347496844763,0.3230963399242743,0.006310475389145982,0.031733277240218766,0.026503996634413125,0.037442153975599496,-0.025422801851072784
Buenos Aires,health,8455,5000,0.0,0.11437019515079834,0.0,0.0,0.0,0.0,0.0,0.0
Buenos Aires,school,7461,5000,0.0,0.18147701380511996,0.0,0.0,0.0,0.0,0.0,0.0
Lima,health,11872,5000,0.0,0.006485849056603774,0.9999157681940701,0.006485849056603774,0.03185,0.0276,0.035809999999999995,-0.02536415094339623
Lima,school,9155,5000,0.0,0.013107591480065538,1.0,0.013107591480065538,0.031226000000000004,0.0272,0.03562,-0.018118408519934466
Bogota,health,6016,5000,0.0,0.010804521276595746,0.0,0.0,0.0,0.0,0.0,0.0
Bogota,school,4156,4156,0.0,0.02045235803657363,0.0,0.0,0.0,0.0,0.0,0.0
Johannesburg,health,4529,4529,0.0,0.0,1.0,0.0,0.0002296312651799514,0.0,0.0006623978803267829,-0.0002296312651799514
Johannesburg,school,9580,5000,0.0,0.0,1.0,0.0,0.000212,0.0,0.0006,-0.000212
Accra,health,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accra,school,1093,1093,0.0,0.007319304666056725,0.0,0.0,0.0,0.0,0.0,0.0
Tokyo,health,38519,5000,0.5788312261481346,0.14231937485396817,0.0,0.032451517432955164,0.05540199999999999,0.05,0.06161,-0.02295048256704483
Tokyo,school,15256,5000,0.6015338227582591,0.1662952281069743,0.0,0.04195070791819612,0.055124000000000006,0.0506,0.06044,-0.013173292081803886
