city,grdi_tercile,facility_type,n_facilities,heat_share,flood_share,water_stress_share,compound_share,median_service_pop_5km,mean_escri,median_grdi
Cairo,,health,438,1.0,0.00684931506849315,1.0,1.0,63794.66361236572,0.13665340703842233,
Cairo,,school,254,1.0,0.007874015748031496,1.0,1.0,54312.84452950476,0.1427363186103802,
Delhi,middle,health,4505,1.0,0.1074361820199778,1.0,1.0,769089.9972000122,0.2309765830135962,17.243940353393555
Delhi,middle,school,3329,1.0,0.1820366476419345,1.0,1.0,780795.8708327693,0.24449675093752765,15.438699722290039
Delhi,high,health,15475,1.0,0.21731825525040388,1.0,1.0,1587997.7900390625,0.3150391005631883,33.55569076538086
Delhi,high,school,10982,1.0,0.3009470041886724,1.0,1.0,1366443.9586794376,0.3263776377946413,33.29335403442383
Delhi,,health,6,1.0,0.0,1.0,1.0,489533.69225914753,0.1216952681388268,
Delhi,,school,8,1.0,0.125,1.0,1.0,141575.3246117368,0.1507408832809874,
Dhaka,middle,health,3746,1.0,0.1593699946609717,1.0,1.0,4388339.776641846,0.22143283410683673,13.540024757385254
Dhaka,middle,school,3420,1.0,0.22631578947368422,1.0,1.0,4141581.2930908203,0.24138200660207937,13.802316665649414
Dhaka,high,health,739,1.0,0.4506089309878214,1.0,1.0,2040387.8166818619,0.28706832237957247,25.02782440185547
Dhaka,high,school,1049,1.0,0.550047664442326,1.0,1.0,1376204.1946716309,0.31872201770135633,25.736404418945312
Ho Chi Minh City,middle,health,9841,0.8580428818209531,0.15963824814551367,0.008942180672695864,0.14297327507367139,2180816.726501465,0.08925970210629176,9.44308090209961
Ho Chi Minh City,middle,school,10349,0.8317711856217992,0.2258189197023867,0.010918929365156054,0.2024350178761233,1550077.7591552734,0.10824987878339437,9.444461822509766
Ho Chi Minh City,high,health,91,0.2857142857142857,0.5494505494505495,0.14285714285714285,0.3076923076923077,91368.99086517096,0.09086004713684391,23.265233993530273
Ho Chi Minh City,high,school,126,0.2222222222222222,0.5396825396825397,0.16666666666666666,0.2857142857142857,97849.02612008456,0.11269368670735619,23.17148494720459
Ho Chi Minh City,,health,3,0.0,1.0,0.0,0.0,4723.388424542703,0.05807929332708913,
Ho Chi Minh City,,school,1,0.0,0.0,0.0,0.0,76355.35559082031,0.019563384933423907,
Houston,low,health,3079,0.5842806105878532,0.19064631373822669,0.0,0.07242611237414745,143058.69435191154,0.07637735504842465,2.8339099884033203
Houston,low,school,1036,0.6457528957528957,0.1167953667953668,0.0,0.08783783783783784,119054.40654471061,0.07132078678914151,4.414862394332886
Houston,middle,health,3131,0.592462472053657,0.10986905142127117,0.0,0.07090386458000639,98918.78326568613,0.0732124927019032,10.386772155761719
Houston,middle,school,1156,0.6557093425605537,0.06228373702422145,0.0,0.03546712802768166,88490.44770765305,0.06864284552635329,10.386772155761719
Houston,high,health,11937,0.48177934154310126,0.22350674373795762,0.0,0.12163860266398592,156077.90328125935,0.10469362562398966,25.223037719726562
Houston,high,school,3252,0.517220172201722,0.13591635916359163,0.0,0.08271832718327184,146261.1208215626,0.09851670010455701,26.057348251342773
Houston,,health,63,0.7301587301587301,0.36507936507936506,0.0,0.30158730158730157,89908.01973138655,0.06932914999635804,
Houston,,school,33,0.48484848484848486,0.06060606060606061,0.0,0.06060606060606061,73270.18093140093,0.05098946852420957,
Istanbul,low,health,7496,0.0,0.00026680896478121667,0.9995997865528282,0.00026680896478121667,1231661.4152297974,0.10673845488399632,6.147304058074951
Istanbul,low,school,2996,0.0,0.0013351134846461949,0.9996662216288384,0.0013351134846461949,1083163.7259674072,0.10929023618036435,6.147304058074951
Istanbul,middle,health,9551,0.0,0.006805570097372003,0.9408438906920741,0.005235053921055387,1080441.5532226562,0.10463078797589469,9.17587947845459
